column_name;description
Unique Key;Unique identifier of a Service Request (SR) in the open data set. Each 311 service request is assigned a number that distinguishes it as a separate case incident. 
Created Date;The date and time that a Customer submits a Service Request. 
Closed Date;The date and time that an Agency closes a Service Request. 
Agency;Acronym of responding City Government Agency or entity responding to 311 Service Request.
Agency Name;Full agency name of responding City Government Agency, or entity responding to 311 service request.
Problem;This is the first level of a hierarchy identifying the topic of the incident or condition.  Problem (formerly Complaint Type) broadly describes the topic of the incident or condition and are defined by the responding agencies. New Problems may be added in response to changes in customer demand.
Problem Detail;A second level of detail about the Problem (formerly Complaint Type), and provides further detail on the incident or condition. Problem Detail (formerly Descriptor) values are dependent on the Problem, and are not always required in the service request. 
Additional Details ;A third level of detail about the Problem (formerly Complaint Type) beyond the Problem Detail (formerly Descriptor). This is not used by every category of issue.
Location Type;Describes the type of location used in the address information
Incident Zip;Zip code of the incident address
Incident Address;House number and street name of incident address
Street Name;Street name of incident address 
Cross Street 1;First Cross street based on the geo validated incident location.
Cross Street 2;Second Cross Street based on the geo validated incident location
Intersection Street 1;First intersecting street based on geo validated incident location
Intersection Street 2;Second intersecting street based on geo validated incident location
Address Type;Type of information available about the incident location. 
City;City of the incident location. In this dataset, City can refer to a borough or neighborhood. 
Landmark;If the incident location is identified as a Landmark the name of the landmark will display here
Facility Type;If applicable, this field describes the type of city facility associated to the service request
Community Board;Community boards are local representative bodies. There are 59 community boards throughout the City, each representing a distinct geography. For more information on Community Boards: http://www.nyc.gov/html/cau/html/cb/about.shtml
Council District ;The City Council district where the service request is located.
Police Precinct;The NYPD precinct where the service request is located
BBL;Parcel number that identifies the location of the building or property associated with the service request. The block is a subset of a borough. The lot is a subset of a block unique within a borough and block.
Borough;One of New York City's five boroughs
X Coordinate (State Plane);"Geo validated, X coordinate of the incident location.

X coordinate of the incident location. For more information about NY State Plane Coordinate Zones: http://gis.ny.gov/gisdata/metadata/nysogs.statepln.html?nysgis= "
Y Coordinate (State Plane);"Geo validated,  Y coordinate of the incident location.

Y coordinate of the incident location. For more information about NY State Plane Coordinate Zones: http://gis.ny.gov/gisdata/metadata/nysogs.statepln.html?nysgis= "
Open Data Channel Type;Indicates how the service request was submitted to 311.
Latitude;Geo based Latitude of the incident location in decimal degrees.
Longitude;Geo based Longitude of the incident location in decimal degrees. 
Location;The combined geo-based latitude & longitude of the incident location. 
Park Facility Name;If the incident location is a Parks Dept facility and service requests pertains to a facility managed by NYC Parks (DPR), the name of the facility will appear here
Park Borough;The borough of incident if the service request is pertaining to a NYC Parks Dept facility (DPR)
Vehicle Type;"Data provided if service request pertains to a vehicle managed by the Taxi and Limousine Commision (TLC). 
"
Taxi Company Borough;Data provided if service request pertains to a vehicle managed by the Taxi and Limousine Commision (TLC). 
Taxi Pick Up Location;If the incident pertains a vehicle managed by the Taxi and Limousine Commision (TLC), this field displays the taxi pick up location
Bridge Highway Name;"If the incident is identified as a Bridge/Highway, the name will be displayed here.

"
Bridge Highway Direction;If the incident is identified as a Bridge/Highway, the direction where the issue took place would be displayed here.
Road Ramp;If the incident location was Bridge/Highway this column differentiates if the issue was on the Road or the Ramp.
Bridge Highway Segment;Additional information on the section of the Bridge/Highway were the incident took place.